country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,76821,Střížovice,Střížovice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.240957,17.441086,7,Střížovice | Kvasice | Bělov | Vrbka | Nová Dědina | Sulimov | Karolín
CZ,76823,Břest,Břest,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.3615,17.4383,2,Břest | Žalkovice
CZ,76824,Záhlinice,Záhlinice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.307475,17.4855,4,Záhlinice | Chrášťany | Pravčice | Hulín
CZ,76831,Zlobice,Zlobice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.3061,17.3126,2,Zlobice | Bojanovice
CZ,76832,Zborovice,Zborovice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Zlínský kraj,Kroměříž,49.2489,17.2846,1,Zborovice
CZ,76833,Dřínov,Dřínov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.268683,17.223692,12,Dřínov | Pornice | Slížany | Uhřice | Prasklice | Počenice-Tetětice | Tetětice | Vlčí Doly | Věžky | Morkovice | Počenice | Morkovice-Slížany
CZ,76834,Pačlavice,Pačlavice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.25175,17.1616,2,Pačlavice | Lhota
CZ,76841,Hlinsko pod Hostýnem,Hlinsko pod Hostýnem,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.36035,17.65915,2,Hlinsko pod Hostýnem | Rusava
CZ,76842,Prusinovice,Prusinovice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Zlínský kraj,Kroměříž,49.379,17.5871,1,Prusinovice
CZ,76843,Němčice,Němčice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Zlínský kraj,Kroměříž,49.3743,17.52658,5,Němčice | Pacetluky | Karlovice | Roštění | Kostelec u Holešova
